stress: target=renderer3d runs=100 order=declared mode=in-process pid=1182307
     1 ok    0.17s threads+0 fd+1 rss+102660K
     2 ok    0.07s threads+0 fd+0 rss+118856K
     3 ok    0.06s threads+0 fd+0 rss+121516K
     4 ok    0.06s threads+0 fd+0 rss+125588K
     5 ok    0.06s threads+0 fd+0 rss+125008K
     6 ok    0.06s threads+0 fd+0 rss+124024K
     7 ok    0.06s threads+0 fd+0 rss+126868K
     8 ok    0.06s threads+0 fd+0 rss+125416K
     9 ok    0.06s threads+0 fd+0 rss+127376K
    10 ok    0.06s threads+0 fd+0 rss+127596K
    11 ok    0.06s threads+0 fd+0 rss+127700K
    12 ok    0.06s threads+0 fd+0 rss+127760K
    13 ok    0.06s threads+0 fd+0 rss+127836K
    14 ok    0.06s threads+0 fd+0 rss+127988K
    15 ok    0.06s threads+0 fd+0 rss+128092K
    16 ok    0.06s threads+0 fd+0 rss+128120K
    17 ok    0.06s threads+0 fd+0 rss+128224K
    18 ok    0.06s threads+0 fd+0 rss+128476K
    19 ok    0.06s threads+0 fd+0 rss+128480K
    20 ok    0.06s threads+0 fd+0 rss+128492K
    21 ok    0.06s threads+0 fd+0 rss+128532K
    22 ok    0.06s threads+0 fd+0 rss+128556K
    23 ok    0.06s threads+0 fd+0 rss+128564K
    24 ok    0.06s threads+0 fd+0 rss+128568K
    25 ok    0.06s threads+0 fd+0 rss+128576K
    26 ok    0.06s threads+0 fd+0 rss+128596K
    27 ok    0.06s threads+0 fd+0 rss+128596K
    28 ok    0.06s threads+0 fd+0 rss+128608K
    29 ok    0.06s threads+0 fd+0 rss+128612K
    30 ok    0.06s threads+0 fd+0 rss+128612K
    31 ok    0.06s threads+0 fd+0 rss+128628K
    32 ok    0.06s threads+0 fd+0 rss+128628K
    33 ok    0.06s threads+0 fd+0 rss+128640K
    34 ok    0.06s threads+0 fd+0 rss+128640K
    35 ok    0.06s threads+0 fd+0 rss+128648K
    36 ok    0.06s threads+0 fd+0 rss+128668K
    37 ok    0.06s threads+0 fd+0 rss+128668K
    38 ok    0.06s threads+0 fd+0 rss+128676K
    39 ok    0.06s threads+0 fd+0 rss+128680K
    40 ok    0.06s threads+0 fd+0 rss+128680K
    41 ok    0.06s threads+0 fd+0 rss+128684K
    42 ok    0.07s threads+0 fd+0 rss+126888K
    43 ok    0.06s threads+0 fd+0 rss+128200K
    44 ok    0.06s threads+0 fd+0 rss+128420K
    45 ok    0.06s threads+0 fd+0 rss+128748K
    46 ok    0.06s threads+0 fd+0 rss+128748K
    47 ok    0.06s threads+0 fd+0 rss+128748K
    48 ok    0.06s threads+0 fd+0 rss+128748K
    49 ok    0.06s threads+0 fd+0 rss+128748K
    50 ok    0.06s threads+0 fd+0 rss+128748K
    51 ok    0.06s threads+0 fd+0 rss+126888K
    52 ok    0.06s threads+0 fd+0 rss+128248K
    53 ok    0.06s threads+0 fd+0 rss+128300K
    54 ok    0.06s threads+0 fd+0 rss+128476K
    55 ok    0.06s threads+0 fd+0 rss+126888K
    56 ok    0.06s threads+0 fd+0 rss+128332K
    57 ok    0.06s threads+0 fd+0 rss+128520K
    58 ok    0.06s threads+0 fd+0 rss+126956K
    59 ok    0.06s threads+0 fd+0 rss+128352K
    60 ok    0.06s threads+0 fd+0 rss+128520K
    61 ok    0.06s threads+0 fd+0 rss+128616K
    62 ok    0.06s threads+0 fd+0 rss+126888K
    63 ok    0.06s threads+0 fd+0 rss+128328K
    64 ok    0.06s threads+0 fd+0 rss+128444K
    65 ok    0.06s threads+0 fd+0 rss+126888K
    66 ok    0.07s threads+0 fd+0 rss+128348K
    67 ok    0.06s threads+0 fd+0 rss+128580K
    68 ok    0.06s threads+0 fd+0 rss+126888K
    69 ok    0.06s threads+0 fd+0 rss+128288K
    70 ok    0.06s threads+0 fd+0 rss+128348K
    71 ok    0.06s threads+0 fd+0 rss+128592K
    72 ok    0.06s threads+0 fd+0 rss+126892K
    73 ok    0.06s threads+0 fd+0 rss+126892K
    74 ok    0.06s threads+0 fd+0 rss+126892K
    75 ok    0.06s threads+0 fd+0 rss+128360K
    76 ok    0.06s threads+0 fd+0 rss+126896K
    77 ok    0.06s threads+0 fd+0 rss+126892K
    78 ok    0.06s threads+0 fd+0 rss+128372K
    79 ok    0.06s threads+0 fd+0 rss+128552K
    80 ok    0.06s threads+0 fd+0 rss+128604K
    81 ok    0.06s threads+0 fd+0 rss+128688K
    82 ok    0.06s threads+0 fd+0 rss+128740K
    83 ok    0.06s threads+0 fd+0 rss+128756K
    84 ok    0.06s threads+0 fd+0 rss+128760K
    85 ok    0.06s threads+0 fd+0 rss+128772K
    86 ok    0.06s threads+0 fd+0 rss+126892K
    87 ok    0.06s threads+0 fd+0 rss+126892K
    88 ok    0.06s threads+0 fd+0 rss+127900K
    89 ok    0.06s threads+0 fd+0 rss+126892K
    90 ok    0.06s threads+0 fd+0 rss+127900K
    91 ok    0.06s threads+0 fd+0 rss+126896K
    92 ok    0.06s threads+0 fd+0 rss+128380K
    93 ok    0.06s threads+0 fd+0 rss+126896K
    94 ok    0.06s threads+0 fd+0 rss+129384K
    95 ok    0.06s threads+0 fd+0 rss+129008K
    96 ok    0.06s threads+0 fd+0 rss+130016K
    97 ok    0.06s threads+0 fd+0 rss+126900K
    98 ok    0.06s threads+0 fd+0 rss+126900K
    99 ok    0.06s threads+0 fd+0 rss+126904K
   100 ok    0.06s threads+0 fd+0 rss+126904K
stress: 100/100 passed, longest consecutive 100
