gates starting on commit 3f07a6ea007dec7925c6ffb36e710025427f55bb at 2026-08-06T20:48:04Z
=== gate 1: 100 provider-worker lifecycles ===
stress: target=agents runs=100 order=declared mode=in-process pid=218021
     1 ok    0.22s threads+0 fd+0 rss+10544K
     2 ok    0.17s threads+0 fd+0 rss+10548K
     3 ok    0.16s threads+0 fd+0 rss+10560K
     4 ok    0.16s threads+0 fd+0 rss+10692K
     5 ok    0.18s threads+0 fd+0 rss+10692K
     6 ok    0.16s threads+0 fd+0 rss+10712K
     7 ok    0.17s threads+0 fd+0 rss+10716K
     8 ok    0.15s threads+0 fd+0 rss+10716K
     9 ok    0.15s threads+0 fd+0 rss+10716K
    10 ok    0.17s threads+0 fd+0 rss+10716K
    11 ok    0.16s threads+0 fd+0 rss+10716K
    12 ok    0.17s threads+0 fd+0 rss+10736K
    13 ok    0.18s threads+0 fd+0 rss+10736K
    14 ok    0.17s threads+0 fd+0 rss+10736K
    15 ok    0.17s threads+0 fd+0 rss+10736K
    16 ok    0.16s threads+0 fd+0 rss+10740K
    17 ok    0.16s threads+0 fd+0 rss+10740K
    18 ok    0.18s threads+0 fd+0 rss+10740K
    19 ok    0.17s threads+0 fd+0 rss+10748K
    20 ok    0.18s threads+0 fd+0 rss+10748K
    21 ok    0.18s threads+0 fd+0 rss+10748K
    22 ok    0.19s threads+0 fd+0 rss+10748K
    23 ok    0.18s threads+0 fd+0 rss+10748K
    24 ok    0.17s threads+0 fd+0 rss+10748K
    25 ok    0.18s threads+0 fd+0 rss+10764K
    26 ok    0.16s threads+0 fd+0 rss+10768K
    27 ok    0.15s threads+0 fd+0 rss+10772K
    28 ok    0.15s threads+0 fd+0 rss+10772K
    29 ok    0.14s threads+0 fd+0 rss+10788K
    30 ok    0.18s threads+0 fd+0 rss+10788K
    31 ok    0.18s threads+0 fd+0 rss+10788K
    32 ok    0.17s threads+0 fd+0 rss+10788K
    33 ok    0.17s threads+0 fd+0 rss+10788K
    34 ok    0.16s threads+0 fd+0 rss+10788K
    35 ok    0.17s threads+0 fd+0 rss+10788K
    36 ok    0.17s threads+0 fd+0 rss+10788K
    37 ok    0.18s threads+0 fd+0 rss+10804K
    38 ok    0.14s threads+0 fd+0 rss+10820K
    39 ok    0.16s threads+0 fd+0 rss+10820K
    40 ok    0.16s threads+0 fd+0 rss+10820K
    41 ok    0.24s threads+0 fd+0 rss+10820K
    42 ok    0.14s threads+0 fd+0 rss+10820K
    43 ok    0.16s threads+0 fd+0 rss+10820K
    44 ok    0.15s threads+0 fd+0 rss+10820K
    45 ok    0.16s threads+0 fd+0 rss+10820K
    46 ok    0.16s threads+0 fd+0 rss+10820K
    47 ok    0.17s threads+0 fd+0 rss+10820K
    48 ok    0.17s threads+0 fd+0 rss+10820K
    49 ok    0.17s threads+0 fd+0 rss+10820K
    50 ok    0.17s threads+0 fd+0 rss+10820K
    51 ok    0.16s threads+0 fd+0 rss+10824K
    52 ok    0.18s threads+0 fd+0 rss+10848K
    53 ok    0.19s threads+0 fd+0 rss+10848K
    54 ok    0.18s threads+0 fd+0 rss+10848K
    55 ok    0.17s threads+0 fd+0 rss+10848K
    56 ok    0.17s threads+0 fd+0 rss+10848K
    57 ok    0.15s threads+0 fd+0 rss+10852K
    58 ok    0.17s threads+0 fd+0 rss+10856K
    59 ok    0.20s threads+0 fd+0 rss+10856K
    60 ok    0.18s threads+0 fd+0 rss+10868K
    61 ok    0.16s threads+0 fd+0 rss+10872K
    62 ok    0.16s threads+0 fd+0 rss+10876K
    63 ok    0.17s threads+0 fd+0 rss+10880K
    64 ok    0.16s threads+0 fd+0 rss+10880K
    65 ok    0.16s threads+0 fd+0 rss+10880K
    66 ok    0.17s threads+0 fd+0 rss+10884K
    67 ok    0.16s threads+0 fd+0 rss+10900K
    68 ok    0.18s threads+0 fd+0 rss+10900K
