stress: target=desktop runs=100 order=declared mode=in-process pid=589227
     1 ok    0.31s threads+0 fd+4 rss+23180K
     2 ok    0.22s threads+0 fd+1 rss+24316K
     3 ok    0.22s threads+0 fd+1 rss+25460K
     4 ok    0.22s threads+0 fd+1 rss+25592K
     5 ok    0.22s threads+0 fd+0 rss+25592K
     6 ok    0.53s threads+0 fd-3 rss+25596K
     7 ok    0.22s threads+0 fd+0 rss+25596K
     8 ok    0.22s threads+0 fd+0 rss+25596K
     9 ok    0.22s threads+0 fd+0 rss+25596K
    10 ok    0.22s threads+0 fd+0 rss+25596K
    11 ok    0.22s threads+0 fd+0 rss+26608K
    12 ok    0.22s threads+0 fd+0 rss+26608K
    13 ok    0.22s threads+0 fd+0 rss+25600K
    14 ok    0.22s threads+0 fd+0 rss+26608K
    15 ok    0.22s threads+0 fd+0 rss+25600K
    16 ok    0.23s threads+0 fd+0 rss+26612K
    17 ok    0.22s threads+0 fd+0 rss+25604K
    18 ok    0.22s threads+0 fd+0 rss+26616K
    19 ok    0.22s threads+0 fd+0 rss+26616K
    20 ok    0.22s threads+0 fd+0 rss+26620K
    21 ok    0.22s threads+0 fd+0 rss+26624K
    22 ok    0.22s threads+0 fd+0 rss+26624K
    23 ok    0.22s threads+0 fd+0 rss+26624K
    24 ok    0.22s threads+0 fd+0 rss+26624K
    25 ok    0.22s threads+0 fd+0 rss+26624K
    26 ok    0.22s threads+0 fd+0 rss+26624K
    27 ok    0.22s threads+0 fd+0 rss+26624K
    28 ok    0.22s threads+0 fd+0 rss+26624K
    29 ok    0.22s threads+0 fd+0 rss+26624K
    30 ok    0.22s threads+0 fd+0 rss+26624K
    31 ok    0.22s threads+0 fd+0 rss+26624K
    32 ok    0.22s threads+0 fd+0 rss+26624K
    33 ok    0.22s threads+0 fd+0 rss+26624K
    34 ok    0.22s threads+0 fd+0 rss+26624K
    35 ok    0.22s threads+0 fd+0 rss+26624K
    36 ok    0.22s threads+0 fd+0 rss+26624K
    37 ok    0.22s threads+0 fd+0 rss+26624K
    38 ok    0.22s threads+0 fd+0 rss+26624K
    39 ok    0.22s threads+0 fd+0 rss+26624K
    40 ok    0.22s threads+0 fd+0 rss+26624K
    41 ok    0.22s threads+0 fd+0 rss+26624K
    42 ok    0.22s threads+0 fd+0 rss+26624K
    43 ok    0.22s threads+0 fd+0 rss+26624K
    44 ok    0.22s threads+0 fd+0 rss+26624K
    45 ok    0.22s threads+0 fd+0 rss+26628K
    46 ok    0.22s threads+0 fd+0 rss+26628K
    47 ok    0.22s threads+0 fd+0 rss+26628K
    48 ok    0.22s threads+0 fd+0 rss+26628K
    49 ok    0.22s threads+0 fd+0 rss+26628K
    50 ok    0.22s threads+0 fd+0 rss+26628K
    51 ok    0.22s threads+0 fd+0 rss+26628K
    52 ok    0.22s threads+0 fd+0 rss+26628K
    53 ok    0.22s threads+0 fd+0 rss+26628K
    54 ok    0.22s threads+0 fd+0 rss+26628K
    55 ok    0.22s threads+0 fd+0 rss+26628K
    56 ok    0.22s threads+0 fd+0 rss+26628K
    57 ok    0.22s threads+0 fd+0 rss+26636K
    58 ok    0.22s threads+0 fd+0 rss+26636K
    59 ok    0.22s threads+0 fd+0 rss+26636K
    60 ok    0.22s threads+0 fd+0 rss+26636K
    61 ok    0.22s threads+0 fd+0 rss+26636K
    62 ok    0.22s threads+0 fd+0 rss+26636K
    63 ok    0.22s threads+0 fd+0 rss+26636K
    64 ok    0.22s threads+0 fd+0 rss+26636K
    65 ok    0.22s threads+0 fd+0 rss+26636K
    66 ok    0.22s threads+0 fd+0 rss+26636K
    67 ok    0.22s threads+0 fd+0 rss+26636K
    68 ok    0.22s threads+0 fd+0 rss+26636K
    69 ok    0.22s threads+0 fd+0 rss+26636K
    70 ok    0.22s threads+0 fd+0 rss+26636K
    71 ok    0.22s threads+0 fd+0 rss+26636K
    72 ok    0.22s threads+0 fd+0 rss+26636K
    73 ok    0.22s threads+0 fd+0 rss+26636K
    74 ok    0.22s threads+0 fd+0 rss+26636K
    75 ok    0.22s threads+0 fd+0 rss+26636K
    76 ok    0.22s threads+0 fd+0 rss+26636K
    77 ok    0.22s threads+0 fd+0 rss+26636K
    78 ok    0.22s threads+0 fd+0 rss+26636K
    79 ok    0.22s threads+0 fd+0 rss+26636K
    80 ok    0.22s threads+0 fd+0 rss+26636K
    81 ok    0.22s threads+0 fd+0 rss+26636K
    82 ok    0.22s threads+0 fd+0 rss+26636K
    83 ok    0.22s threads+0 fd+0 rss+26636K
    84 ok    0.22s threads+0 fd+0 rss+26636K
    85 ok    0.22s threads+0 fd+0 rss+26636K
    86 ok    0.22s threads+0 fd+0 rss+26636K
    87 ok    0.22s threads+0 fd+0 rss+26636K
    88 ok    0.22s threads+0 fd+0 rss+26636K
    89 ok    0.22s threads+0 fd+0 rss+26636K
    90 ok    0.22s threads+0 fd+0 rss+26636K
    91 ok    0.22s threads+0 fd+0 rss+26636K
    92 ok    0.22s threads+0 fd+0 rss+26636K
    93 ok    0.22s threads+0 fd+0 rss+26636K
    94 ok    0.22s threads+0 fd+0 rss+26636K
    95 ok    0.23s threads+0 fd+0 rss+26636K
    96 ok    0.22s threads+0 fd+0 rss+26636K
    97 ok    0.22s threads+0 fd+0 rss+26636K
    98 ok    0.22s threads+0 fd+0 rss+26776K
    99 ok    0.22s threads+0 fd+0 rss+26776K
   100 ok    0.22s threads+0 fd+0 rss+26776K
stress: 100/100 passed, longest consecutive 100
