stress: target=suite runs=50 order=declared mode=in-process pid=637721
     1 ok   51.42s threads+1 fd+3 rss+84772K
     2 ok   50.96s threads+0 fd+0 rss+93972K
     3 ok   51.68s threads+0 fd+0 rss+92368K
     4 ok   50.47s threads+0 fd+0 rss+91744K
     5 ok   50.52s threads+0 fd+0 rss+94100K
     6 ok   50.11s threads+0 fd+0 rss+94296K
     7 ok   50.87s threads+0 fd+0 rss+92300K
     8 ok   50.20s threads+0 fd+0 rss+92384K
     9 ok   50.55s threads+0 fd+0 rss+92432K
    10 ok   50.78s threads+0 fd+0 rss+92440K
    11 ok   50.54s threads+0 fd+0 rss+92044K
    12 ok   50.42s threads+0 fd+0 rss+92164K
    13 ok   50.80s threads+0 fd+0 rss+92648K
    14 ok   50.54s threads+0 fd+0 rss+92684K
    15 ok   50.90s threads+0 fd+0 rss+92940K
    16 ok   50.23s threads+0 fd+0 rss+92732K
    17 ok   50.77s threads+0 fd+0 rss+93204K
    18 ok   51.34s threads+0 fd+0 rss+93224K
    19 ok   51.24s threads+0 fd+0 rss+92788K
    20 ok   50.16s threads+0 fd+0 rss+93268K
    21 ok   50.29s threads+0 fd+0 rss+93284K
    22 ok   50.88s threads+0 fd+0 rss+93440K
    23 ok   50.44s threads+0 fd+0 rss+93444K
    24 ok   50.12s threads+0 fd+0 rss+93452K
    25 ok   50.10s threads+0 fd+0 rss+93440K
    26 ok   50.41s threads+0 fd+0 rss+93432K
    27 ok   50.67s threads+0 fd+0 rss+98440K
    28 ok   51.02s threads+0 fd+0 rss+97448K
    29 ok   51.24s threads+0 fd+0 rss+98640K
    30 ok   50.86s threads+0 fd+0 rss+99640K
    31 ok   50.52s threads+0 fd+0 rss+99812K
    32 ok   51.19s threads+0 fd+0 rss+98364K
    33 ok   50.99s threads+0 fd+0 rss+98828K
    34 ok   50.85s threads+0 fd+0 rss+99436K
    35 ok   50.95s threads+0 fd+0 rss+97036K
    36 ok   50.53s threads+0 fd+0 rss+99076K
    37 ok   50.50s threads+0 fd+0 rss+100124K
    38 ok   50.71s threads+0 fd+0 rss+98152K
    39 ok   50.66s threads+0 fd+0 rss+100184K
    40 ok   50.41s threads+0 fd+0 rss+99184K
    41 ok   51.26s threads+0 fd+0 rss+99188K
    42 ok   51.52s threads+0 fd+0 rss+99196K
    43 ok   51.36s threads+0 fd+0 rss+99208K
    44 ok   51.34s threads+0 fd+0 rss+98200K
    45 ok   51.10s threads+0 fd+0 rss+95148K
    46 ok   51.27s threads+0 fd+0 rss+96164K
    47 ok   50.77s threads+0 fd+0 rss+99252K
    48 ok   51.32s threads+0 fd+0 rss+99292K
    49 ok   51.03s threads+0 fd+0 rss+101296K
    50 ok   50.99s threads+0 fd+0 rss+100316K
stress: 50/50 passed, longest consecutive 50
