gates starting on commit db9e0b1d6cebfa1e9b741feb0ed76e6409857b7d at 2026-08-06T01:58:37Z
=== gate 1: 100 capture-worker lifecycles ===
stress: target=speech runs=100 order=declared mode=in-process pid=13115
     1 ok    2.58s threads+0 fd+0 rss+93244K
     2 ok    1.26s threads+0 fd+0 rss+167004K
     3 ok    1.18s threads+0 fd+0 rss+168120K
     4 ok    1.30s threads+0 fd+0 rss+169492K
     5 ok    1.34s threads+0 fd+0 rss+169644K
     6 ok    1.28s threads+0 fd+0 rss+169956K
     7 ok    1.26s threads+0 fd+0 rss+170816K
     8 ok    1.34s threads+0 fd+0 rss+171480K
     9 ok    1.13s threads+0 fd+0 rss+171612K
    10 ok    1.36s threads+0 fd+0 rss+172044K
    11 ok    1.28s threads+0 fd+0 rss+173432K
    12 ok    1.28s threads+0 fd+0 rss+173828K
    13 ok    1.28s threads+0 fd+0 rss+175680K
    14 ok    1.16s threads+0 fd+0 rss+175744K
    15 ok    1.40s threads+0 fd+0 rss+175820K
    16 ok    1.16s threads+0 fd+0 rss+175828K
    17 ok    1.41s threads+0 fd+0 rss+175880K
    18 ok    1.24s threads+0 fd+0 rss+175916K
    19 ok    1.16s threads+0 fd+0 rss+176836K
    20 ok    1.40s threads+0 fd+0 rss+176948K
    21 ok    1.20s threads+0 fd+0 rss+177052K
    22 ok    1.36s threads+0 fd+0 rss+178728K
    23 ok    1.24s threads+0 fd+0 rss+178948K
    24 ok    1.33s threads+0 fd+0 rss+178968K
    25 ok    1.26s threads+0 fd+0 rss+179360K
    26 ok    1.27s threads+0 fd+0 rss+180832K
    27 ok    1.16s threads+0 fd+0 rss+181108K
    28 ok    1.40s threads+0 fd+0 rss+181384K
    29 ok    1.26s threads+0 fd+0 rss+181388K
    30 ok    1.31s threads+0 fd+0 rss+182688K
    31 ok    1.26s threads+0 fd+0 rss+182772K
    32 ok    1.28s threads+0 fd+0 rss+183400K
    33 ok    1.26s threads+0 fd+0 rss+183420K
    34 ok    1.27s threads+0 fd+0 rss+184316K
    35 ok    1.30s threads+0 fd+0 rss+184316K
    36 ok    1.28s threads+0 fd+0 rss+184596K
    37 ok    1.26s threads+0 fd+0 rss+184832K
    38 ok    1.28s threads+0 fd+0 rss+184832K
    39 ok    1.28s threads+0 fd+0 rss+184832K
    40 ok    1.18s threads+0 fd+0 rss+184852K
    41 ok    1.36s threads+0 fd+0 rss+184908K
    42 ok    1.28s threads+0 fd+0 rss+186168K
    43 ok    1.28s threads+0 fd+0 rss+186612K
    44 ok    1.18s threads+0 fd+0 rss+186644K
    45 ok    1.38s threads+0 fd+0 rss+186908K
    46 ok    1.30s threads+0 fd+0 rss+187272K
    47 ok    1.26s threads+0 fd+0 rss+187448K
    48 ok    1.26s threads+0 fd+0 rss+187604K
    49 ok    1.16s threads+0 fd+0 rss+188136K
    50 ok    1.28s threads+0 fd+0 rss+188148K
    51 ok    1.40s threads+0 fd+0 rss+188496K
    52 ok    1.26s threads+0 fd+0 rss+188596K
    53 ok    1.31s threads+0 fd+0 rss+189692K
    54 ok    1.18s threads+0 fd+0 rss+189692K
    55 ok    1.40s threads+0 fd+0 rss+189692K
    56 ok    1.14s threads+0 fd+0 rss+189696K
    57 ok    1.30s threads+0 fd+0 rss+189692K
    58 ok    1.28s threads+0 fd+0 rss+189692K
    59 ok    1.36s threads+0 fd+0 rss+189696K
    60 ok    1.28s threads+0 fd+0 rss+189696K
    61 ok    1.30s threads+0 fd+0 rss+189780K
    62 ok    1.26s threads+0 fd+0 rss+189780K
    63 ok    1.18s threads+0 fd+0 rss+189780K
    64 ok    1.38s threads+0 fd+0 rss+189780K
    65 ok    1.25s threads+0 fd+0 rss+189780K
    66 ok    1.28s threads+0 fd+0 rss+189784K
    67 ok    1.30s threads+0 fd+0 rss+190056K
    68 ok    1.26s threads+0 fd+0 rss+190096K
    69 ok    1.28s threads+0 fd+0 rss+190236K
    70 ok    1.28s threads+0 fd+0 rss+190236K
    71 ok    1.28s threads+0 fd+0 rss+190424K
    72 ok    1.18s threads+0 fd+0 rss+190424K
    73 ok    1.38s threads+0 fd+0 rss+190424K
    74 ok    1.24s threads+0 fd+0 rss+190424K
    75 ok    1.30s threads+0 fd+0 rss+190424K
    76 ok    1.18s threads+0 fd+0 rss+190424K
    77 ok    1.38s threads+0 fd+0 rss+190424K
    78 ok    1.25s threads+0 fd+0 rss+190424K
    79 ok    1.20s threads+0 fd+0 rss+190424K
    80 ok    1.28s threads+0 fd+0 rss+190424K
    81 ok    1.38s threads+0 fd+0 rss+190428K
    82 ok    1.16s threads+0 fd+0 rss+190460K
    83 ok    1.38s threads+0 fd+0 rss+190692K
    84 ok    1.28s threads+0 fd+0 rss+190692K
    85 ok    1.28s threads+0 fd+0 rss+190692K
    86 ok    1.26s threads+0 fd+0 rss+190692K
    87 ok    1.28s threads+0 fd+0 rss+190692K
    88 ok    1.28s threads+0 fd+0 rss+190788K
    89 ok    1.26s threads+0 fd+0 rss+190788K
    90 ok    1.30s threads+0 fd+0 rss+190996K
    91 ok    1.18s threads+0 fd+0 rss+190996K
    92 ok    1.36s threads+0 fd+0 rss+191004K
    93 ok    1.28s threads+0 fd+0 rss+191008K
    94 ok    1.30s threads+0 fd+0 rss+191004K
    95 ok    1.28s threads+0 fd+0 rss+191004K
    96 ok    1.28s threads+0 fd+0 rss+191008K
    97 ok    1.26s threads+0 fd+0 rss+191012K
    98 ok    1.28s threads+0 fd+0 rss+191020K
    99 ok    1.28s threads+0 fd+0 rss+191020K
   100 ok    1.28s threads+0 fd+0 rss+191020K
stress: 100/100 passed, longest consecutive 100
gate 1 exit: 0
=== gate 2: 50 complete companion suites ===
stress: target=suite runs=50 order=declared mode=in-process pid=66239
     1 ok   41.27s threads+1 fd+0 rss+67888K
     2 ok   40.64s threads+0 fd+0 rss+72556K
